%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
36.0, 33849.10182346128, 10793.70210095669, 5439.386420176795, 21841.27531543676, 9570.905217040208, -11583.970377918527, 31762.72294076955, 30711.878026947743, -59043.67524906102, -30307.24439707332, -136991.584240387, -55215.939011089686, -535.4807419157913, 2290.1373851463063, -71936.54143053788, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76916365487828E9, 0.0, 2026-01-23 18:20:54.878
38.0, 33823.10674465975, 10762.811990119457, 5414.732446042592, 21852.048856264217, 9587.691377126142, -11560.411639262635, 31771.261307151475, 30705.910111178175, -59159.90432022862, -30368.06349373621, -137040.62396772194, -55249.73484870611, -547.39422171047, 2211.772169086, -72019.3546437448, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654884255E9, 0.0, 2026-01-23 18:20:54.884
40.0, 33905.74114391102, 10837.869148000378, 5481.005368352577, 21868.65620239451, 9593.368720217792, -11564.077325353304, 31747.1437748842, 30680.384419010214, -58946.28869846925, -30244.100718987076, -136939.23645487268, -55178.85746703833, -522.1591022204283, 2350.487095175635, -71866.46871167049, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654889226E9, 0.0, 2026-01-23 18:20:54.889
42.0, 33809.80745670885, 10757.60403366137, 5406.015265705021, 21832.379321143548, 9567.485400138547, -11582.182238362104, 31775.95517348709, 30724.685576520635, -59177.830419281774, -30385.095523011154, -137056.00196790718, -55260.73190697812, -552.132791534995, 2196.9306107676757, -72024.58495194733, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654895497E9, 0.0, 2026-01-23 18:20:54.895
44.0, 33883.29999247789, 10809.9518191757, 5457.401926207773, 21872.65716465201, 9601.728272644075, -11549.81691239082, 31756.598562788793, 30680.518529476947, -59019.60242028266, -30283.059809572675, -136971.89235352186, -55201.83506033839, -530.071619757607, 2290.0926816573956, -71928.65126474516, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654918492E9, 0.0, 2026-01-23 18:20:54.918
46.0, 33850.331169406316, 10795.42318527975, 5439.565234132438, 21840.761225314287, 9570.122905984272, -11584.685633741097, 31764.57813555934, 30712.950910681597, -59046.692734562486, -30309.412516285483, -136995.2275747332, -55218.33064774641, -536.6206808830119, 2265.3940040342814, -71950.57832605581, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654924325E9, 0.0, 2026-01-23 18:20:54.924
48.0, 33827.17476215062, 10765.628309920825, 5416.140605943276, 21851.959449286398, 9587.110231770306, -11561.350412529757, 31772.28948739642, 30705.865407689264, -59160.574872562276, -30369.15872921452, -137042.76973518965, -55251.455933029174, -548.0424222996738, 2180.3679681262934, -72044.81328067939, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76916365492964E9, 0.0, 2026-01-23 18:20:54.929
50.0, 33908.69157417912, 10840.14902593482, 5481.8323828974235, 21868.589147161147, 9592.429946950668, -11564.770229431419, 31748.484879551517, 30681.36789576625, -58947.38393394756, -30245.12889923202, -136941.49398106267, -55180.355033916836, -522.4943783872579, 2325.5649001079682, -71891.54736894934, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654935283E9, 0.0, 2026-01-23 18:20:54.935
52.0, 33812.55672127685, 10759.436876706706, 5407.043445949966, 21832.334617654637, 9567.440696649635, -11582.338700573291, 31777.16216768768, 30725.087907920828, -59178.59037859325, -30385.609613133623, -137057.54423827463, -55261.55892152297, -551.8422188570761, 2186.0676629623968, -72043.49452775653, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654941323E9, 0.0, 2026-01-23 18:20:54.941
54.0, 33886.13866402372, 10811.89642094331, 5458.497161686082, 21872.65716465201, 9601.638865666255, -11550.219243791014, 31757.738501756015, 30680.607936454766, -59018.97657143791, -30282.81394038367, -136973.12169946692, -55202.12563301631, -529.8481023130539, 2280.1014518858733, -71951.80767200085, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654948313E9, 0.0, 2026-01-23 18:20:54.948
